date_mutation,commune,type_local,surface_reelle_bati,valeur_fonciere,prix_m2
05/01/2023,TOULON,Appartement,81.0,208000.0,2567.9
05/01/2023,TOULON,Appartement,18.0,77500.0,4305.56
04/01/2023,TOULON,Appartement,40.0,91870.0,2296.75
03/01/2023,TOULON,Appartement,48.0,139000.0,2895.83
06/01/2023,TOULON,Appartement,24.0,96180.0,4007.5
10/01/2023,TOULON,Appartement,178.0,513350.0,2883.99
10/01/2023,TOULON,Maison,108.0,416250.0,3854.17
03/01/2023,TOULON,Appartement,64.0,106900.0,1670.31
09/01/2023,TOULON,Appartement,65.0,153000.0,2353.85
05/01/2023,TOULON,Appartement,84.0,285000.0,3392.86
04/01/2023,TOULON,Appartement,55.0,90000.0,1636.36
13/01/2023,TOULON,Appartement,70.0,396000.0,5657.14
03/01/2023,TOULON,Appartement,43.0,127570.0,2966.74
06/01/2023,TOULON,Appartement,33.0,65000.0,1969.7
17/01/2023,TOULON,Appartement,61.0,135000.0,2213.11
10/01/2023,TOULON,Maison,80.0,375000.0,4687.5
16/01/2023,TOULON,Appartement,55.0,126000.0,2290.91
12/01/2023,TOULON,Appartement,90.0,222200.0,2468.89
10/01/2023,TOULON,Appartement,52.0,200000.0,3846.15
17/01/2023,TOULON,Appartement,61.0,280000.0,4590.16
03/01/2023,TOULON,Appartement,75.0,118250.0,1576.67
12/01/2023,TOULON,Appartement,59.0,135000.0,2288.14
04/01/2023,TOULON,Appartement,67.0,138000.0,2059.7
06/01/2023,TOULON,Appartement,38.0,81000.0,2131.58
09/01/2023,TOULON,Appartement,20.0,79000.0,3950.0
06/01/2023,TOULON,Appartement,34.0,72375.0,2128.68
06/01/2023,TOULON,Appartement,42.0,72375.0,1723.21
06/01/2023,TOULON,Appartement,71.0,59625.0,839.79
06/01/2023,TOULON,Appartement,41.0,35200.0,858.54
06/01/2023,TOULON,Appartement,71.0,57000.0,802.82
06/01/2023,TOULON,Appartement,34.0,28800.0,847.06
12/01/2023,TOULON,Appartement,20.0,63300.0,3165.0
09/01/2023,TOULON,Appartement,82.0,219000.0,2670.73
09/01/2023,TOULON,Maison,70.0,345000.0,4928.57
09/01/2023,TOULON,Appartement,54.0,90000.0,1666.67
03/01/2023,TOULON,Appartement,119.0,438000.0,3680.67
06/01/2023,TOULON,Appartement,120.0,450000.0,3750.0
02/01/2023,TOULON,Appartement,70.0,215397.0,3077.1
05/01/2023,TOULON,Appartement,38.0,220000.0,5789.47
03/01/2023,TOULON,Appartement,202.0,1700000.0,8415.84
10/01/2023,TOULON,Appartement,20.0,75000.0,3750.0
10/01/2023,TOULON,Appartement,20.0,75000.0,3750.0
10/01/2023,TOULON,Appartement,45.0,158000.0,3511.11
16/01/2023,TOULON,Appartement,21.0,67175.0,3198.81
